Week,Date,Block,Plot,Position,Plant,Chemotype,Plottype,M_fuscoviride_apterous,M_fuscoviride_alate,M_tanacetaria_apterous,M_tanacetaria_alate,U_tanaceti_apterous,U_tanaceti_alate,U_tanaceti_WN,Ant_MF,Antnest,Ant_total,Counted_by,Notes
1,06.05.2021,1,1,1,14_10_A,Myrox,0,,,,,,,,,,,Liv,
1,06.05.2021,1,1,2,18_22_A,Myrox,0,,,,,,,,,,2,Liv,
1,06.05.2021,1,1,3,22_16_A,Myrox,0,,,,,,,,,,,Liv,
1,06.05.2021,1,1,4,7_156_A,Myrox,0,,,,,,,,,,3,Liv,
1,06.05.2021,1,1,5,26_5_A,Myrox,0,,,,,,,,,,,Liv,
1,05.05.2021,1,2,1,16_15_B,Aacet,1,,,,,,,,,,,Dominik,
1,05.05.2021,1,2,2,18_22_B,Myrox,1,,,,,,,,,,,Dominik,
1,05.05.2021,1,2,3,29_39_B,Keto,1,,,,,,,,,,,Dominik,
1,05.05.2021,1,2,4,8_32_B,BThu,1,,,,,,,,,,,Dominik,
1,05.05.2021,1,2,5,9_14_B,ABThu,1,,,,,,,,,,,Dominik,
1,05.05.2021,1,3,1,14_5_A,BThu,0,,,,,,,,,,,Tobias,
1,05.05.2021,1,3,2,17_24_A,BThu,0,,,,,,,,,,,Tobias,
1,05.05.2021,1,3,3,23_28_A,BThu,0,,,,,,,,,,,Tobias,
1,05.05.2021,1,3,4,8_32_A,BThu,0,,,,,,,,,,,Tobias,
1,05.05.2021,1,3,5,30_15_A,BThu,0,,,,,,,,,,,Tobias,
1,06.05.2021,1,4,1,18_5_B,Keto,1,,,,,,,,,,2,Tobias,
1,06.05.2021,1,4,2,17_24_B,BThu,1,,,,,,,,,,,Tobias,
1,06.05.2021,1,4,3,26_43_B,ABThu,1,,,,,,,,,,,Tobias,
1,06.05.2021,1,4,4,16_62_B,Aacet,1,,,,,,,,,,,Tobias,
1,06.05.2021,1,4,5,26_5_B,Myrox,1,,,,,,,,,,3,Tobias,
1,06.05.2021,1,5,1,16_15_A,Aacet,0,,,,,,,,,,3,Tobias,
1,06.05.2021,1,5,2,22_3_A,Aacet,0,,,,,,,,,,,Tobias,
1,06.05.2021,1,5,3,23_19_A,Aacet,0,,,,,,,,,,,Tobias,
1,06.05.2021,1,5,4,16_62_A,Aacet,0,,,,,,,,,,,Tobias,
1,06.05.2021,1,5,5,7_1_A,Aacet,0,,,,,,,,,,,Tobias,
1,06.05.2021,1,6,1,14_10_B,Myrox,1,,,,,,,,,,1,Tobias,
1,06.05.2021,1,6,2,22_3_B,Aacet,1,,,,,,,,,,1,Tobias,
1,06.05.2021,1,6,3,23_28_B,BThu,1,,,,,,,,,,6,Tobias,
1,06.05.2021,1,6,4,29_7_B,ABThu,1,,,,,,,,,,,Tobias,
1,06.05.2021,1,6,5,6_33_B,Keto,1,,,,,,,,,,2,Tobias,
1,06.05.2021,1,7,1,18_5_A,Keto,0,,,,,,,,,,,Tobias,
1,06.05.2021,1,7,2,26_13_A,Keto,0,,,,,,,,,,,Tobias,
1,06.05.2021,1,7,3,29_39_A,Keto,0,,,,,,,,,,,Tobias,
1,06.05.2021,1,7,4,30_16_A,Keto,0,,,,,,,,,,,Tobias,
1,06.05.2021,1,7,5,6_33_A,Keto,0,,,,,,,,,,,Tobias,
1,06.05.2021,1,8,1,14_5_B,BThu,1,,,,,,,,,,24,Tobias,
1,06.05.2021,1,8,2,17_33_B,ABThu,1,,,,,,,,,,,Tobias,
1,06.05.2021,1,8,3,22_16_B,Myrox,1,,,,,,,,,,,Tobias,
1,06.05.2021,1,8,4,30_16_B,Keto,1,,,,,,,,,,,Tobias,
1,06.05.2021,1,8,5,7_1_B,Aacet,1,,,,,,,,,,1,Tobias,
1,05.05.2021,1,9,1,9_41_A,ABThu,0,,,,,,,,,,,Liv,
1,05.05.2021,1,9,2,17_33_A,ABThu,0,,,,,,,,,,,Liv,
1,05.05.2021,1,9,3,26_43_A,ABThu,0,,,,,,,,,,,Liv,
1,05.05.2021,1,9,4,29_7_A,ABThu,0,,,,,,,,,,,Liv,
1,05.05.2021,1,9,5,9_14_A,ABThu,0,,,,,,,,,,1,Liv,
1,06.05.2021,1,10,1,9_41_B,ABThu,1,,,,,,,,,,,Liv,
1,06.05.2021,1,10,2,26_13_B,Keto,1,,,,,,,,,,,Liv,
1,06.05.2021,1,10,3,23_19_B,Aacet,1,,,,,,,,,,1,Liv,
1,06.05.2021,1,10,4,7_156_B,Myrox,1,,,,,,,,,,,Liv,
1,06.05.2021,1,10,5,30_15_B,BThu,1,,,,,,,,,,,Liv,
1,06.05.2021,2,1,1,23_38_A,BThu,0,,,,,,,,,,,Liv,
1,06.05.2021,2,1,2,8_39_A,BThu,0,,,,,,,,,,1,Liv,
1,06.05.2021,2,1,3,30_20_A,BThu,0,,,1,,,,,,,,Liv,
1,06.05.2021,2,1,4,14_7_A,BThu,0,,,,,,,,,,,Liv,
1,06.05.2021,2,1,5,17_43_A,BThu,0,,,,,,,,,,,Liv,
1,06.05.2021,2,2,1,23_38_B,BThu,1,,,,,,,,,,,Dominik,
1,06.05.2021,2,2,2,26_26_B,Keto,1,,,,,,,,,,1,Dominik,
1,06.05.2021,2,2,3,24_23_B,Myrox,1,,,,,,,,,,,Dominik,
1,06.05.2021,2,2,4,7_11_B,Aacet,1,,,21,,,,,,,1,Dominik,
1,06.05.2021,2,2,5,16_162_B,ABThu,1,,,,,,,,,,,Dominik,
1,05.05.2021,2,3,1,9_27_A,ABThu,0,,,,,,,,,,,Tobias,
1,05.05.2021,2,3,2,29_43_A,ABThu,0,,,,,,,,,,,Tobias,
1,05.05.2021,2,3,3,26_44_A,ABThu,0,,,,,,,,,,,Tobias,
1,05.05.2021,2,3,4,17_40_A,ABThu,0,,,,,,,,,,,Tobias,
1,05.05.2021,2,3,5,16_162_A,ABThu,0,,,,,,,,,,2,Tobias,
1,05.05.2021,2,4,1,8_42_B,Keto,1,,,,,,,,,,,Dominik,
1,05.05.2021,2,4,2,29_43_B,ABThu,1,,,,,,,,,,,Dominik,
1,05.05.2021,2,4,3,23_35_B,Aacet,1,,,,,,,,,,,Dominik,
1,05.05.2021,2,4,4,14_7_B,BThu,1,,,,,,,,,,,Dominik,
1,05.05.2021,2,4,5,18_24_B,Myrox,1,,,,,,,,,,,Dominik,
1,05.05.2021,2,5,1,22_20_A,Myrox,0,,,,,,,,,,5,Tobias,
1,05.05.2021,2,5,2,14_14_A,Myrox,0,,,,,,,,,,3,Tobias,
1,05.05.2021,2,5,3,24_23_A,Myrox,0,,,,,,,,,,,Tobias,
1,05.05.2021,2,5,4,26_152_A,Myrox,0,,,,,,,,,,,Tobias,
1,05.05.2021,2,5,5,18_24_A,Myrox,0,,,,,,,,,,,Tobias,
1,06.05.2021,2,6,1,9_27_B,ABThu,1,,,,,,,,,,,Dominik,
1,06.05.2021,2,6,2,8_39_B,BThu,1,,,,,,,,,,,Dominik,
1,06.05.2021,2,6,3,18_6_B,Keto,1,,,,,,,,,,,Dominik,
1,06.05.2021,2,6,4,26_152_B,Myrox,1,,,,,,,,,,2,Dominik,
1,06.05.2021,2,6,5,16_63_B,Aacet,1,,,,,,,,,,,Dominik,
1,06.05.2021,2,7,1,22_106_A,Aacet,0,,,,,,,,,,,Dominik,
1,06.05.2021,2,7,2,16_21_A,Aacet,0,,,,,,,,,,,Dominik,
1,06.05.2021,2,7,3,23_35_A,Aacet,0,,,,,,,,,,,Dominik,
1,06.05.2021,2,7,4,7_11_A,Aacet,0,,,,,,,,,,,Dominik,
1,06.05.2021,2,7,5,16_63_A,Aacet,0,,,,,,,,,,,Dominik,
1,05.05.2021,2,8,1,22_106_B,Aacet,1,,,,,,,,,,,Liv,
1,05.05.2021,2,8,2,14_14_B,Myrox,1,,,,,,,,,,,Liv,
1,05.05.2021,2,8,3,30_20_B,BThu,1,,,28,,,,,,,,Liv,
1,05.05.2021,2,8,4,17_40_B,ABThu,1,,,16,,,,,,,1,Liv,
1,05.05.2021,2,8,5,6_49_B,Keto,1,,,2,,,,,,,,Liv,
1,06.05.2021,2,9,1,8_42_A,Keto,0,,,,,,,,,,,Tobias,
1,06.05.2021,2,9,2,26_26_A,Keto,0,,,,,,,,,,2,Tobias,
1,06.05.2021,2,9,3,18_6_A,Keto,0,,,,,,,,,,,Tobias,
1,06.05.2021,2,9,4,30_33_A,Keto,0,,,,,,,,,,,Tobias,
1,06.05.2021,2,9,5,6_49_A,Keto,0,,,,,,,,,,1,Tobias,
1,06.05.2021,2,10,1,22_20_B,Myrox,1,,,,,,,,,,,Liv,
1,06.05.2021,2,10,2,16_21_B,Aacet,1,,,,,,,,,,,Liv,
1,06.05.2021,2,10,3,26_44_B,ABThu,1,,,,,,,,,,,Liv,
1,06.05.2021,2,10,4,30_33_B,Keto,1,,,,,,,,,,,Liv,
1,06.05.2021,2,10,5,17_43_B,BThu,1,,,,,,,,,,,Liv,
1,05.05.2021,3,1,1,22_12_A,Aacet,0,,,,,,,,,,,Liv,
1,05.05.2021,3,1,2,23_42_A,Aacet,0,,,,,,,,,,,Liv,
1,05.05.2021,3,1,3,16_40_A,Aacet,0,,,,,,,,,,,Liv,
1,05.05.2021,3,1,4,7_12_A,Aacet,0,,,,,,,,,,,Liv,
1,05.05.2021,3,1,5,22_24_A,Aacet,0,,,,,,,,,,,Liv,
1,06.05.2021,3,2,1,29_9_B,Keto,1,,,,,,,,,,4,Tobias,
1,06.05.2021,3,2,2,17_56_B,BThu,1,,,,,,,,,,,Tobias,
1,06.05.2021,3,2,3,26_153_B,Myrox,1,,,,,,,,,,,Tobias,
1,06.05.2021,3,2,4,9_28_B,ABThu,1,,,,,,,,,,,Tobias,
1,06.05.2021,3,2,5,22_24_B,Aacet,1,,,,,,,,,,,Tobias,
1,05.05.2021,3,3,1,29_9_A,Keto,0,,,,,,,,,,1,Liv,
1,05.05.2021,3,3,2,6_39_A,Keto,0,,,,,,,,,,,Liv,
1,05.05.2021,3,3,3,8_37_A,Keto,0,,,,,,,,,,,Liv,
1,05.05.2021,3,3,4,9_76_A,Keto,0,,,,,,,,,,,Liv,
1,05.05.2021,3,3,5,18_47_A,Keto,0,,,,,,,,,,,Liv,
1,05.05.2021,3,4,1,22_12_B,Aacet,1,,,,,,,,,,,Tobias,
1,05.05.2021,3,4,2,26_45_B,ABThu,1,,,,,,,,,,,Tobias,
1,05.05.2021,3,4,3,8_37_B,Keto,1,,,,,,,,,,,Tobias,
1,05.05.2021,3,4,4,14_32_B,Myrox,1,,,,,,,,,,,Tobias,
1,05.05.2021,3,4,5,23_40_B,BThu,1,,,,,,,,,,,Tobias,
1,05.05.2021,3,5,1,17_57_A,ABThu,0,,,,,,,,,,,Dominik,
1,05.05.2021,3,5,2,26_45_A,ABThu,0,,,,,,,,,,,Dominik,
1,05.05.2021,3,5,3,16_175_A,ABThu,0,,,,,,,,,,,Dominik,
1,05.05.2021,3,5,4,9_28_A,ABThu,0,,,,,,,,,,,Dominik,
1,05.05.2021,3,5,5,29_165_A,ABThu,0,,,,,,,,,,,Dominik,
1,06.05.2021,3,6,1,26_165_B,Myrox,1,,,,,,,,,,,Dominik,
1,06.05.2021,3,6,2,6_39_B,Keto,1,,,,,,,,,,,Dominik,
1,06.05.2021,3,6,3,16_40_B,Aacet,1,,,,,,,,,,,Dominik,
1,06.05.2021,3,6,4,30_34_B,BThu,1,,,,,,,,,,,Dominik,
1,06.05.2021,3,6,5,29_165_B,ABThu,1,,,,,,,,,,,Dominik,
1,06.05.2021,3,7,1,26_165_A,Myrox,0,,,,,,,,,,,Tobias,
1,06.05.2021,3,7,2,18_46_A,Myrox,0,,,,,,,,,,,Tobias,
1,06.05.2021,3,7,3,26_153_A,Myrox,0,,,,,,,,,,,Tobias,
1,06.05.2021,3,7,4,14_32_A,Myrox,0,,,,,,,,,,,Tobias,
1,06.05.2021,3,7,5,22_68_A,Myrox,0,,,,,,,,,,,Tobias,
1,05.05.2021,3,8,1,17_57_B,ABThu,1,,,,,,,,,,,Dominik,
1,05.05.2021,3,8,2,18_46_B,Myrox,1,,,,,,,,,,,Dominik,
1,05.05.2021,3,8,3,14_45_B,BThu,1,,,,,,,,,,,Dominik,
1,05.05.2021,3,8,4,7_12_B,Aacet,1,,,,,,,,,,,Dominik,
1,05.05.2021,3,8,5,18_47_B,Keto,1,,,,,,,,,,,Dominik,
1,05.05.2021,3,9,1,6_10_A,BThu,0,,,,,,,,,,,Tobias,
1,05.05.2021,3,9,2,17_56_A,BThu,0,,,,,,,,,,,Tobias,
1,05.05.2021,3,9,3,14_45_A,BThu,0,,,,,,,,,,,Tobias,
1,05.05.2021,3,9,4,30_34_A,BThu,0,,,,,,,,,,,Tobias,
1,05.05.2021,3,9,5,23_40_A,BThu,0,,,,,,,,,,,Tobias,
1,05.05.2021,3,10,1,6_10_B,BThu,1,,,,,,,,,,,Liv,
1,05.05.2021,3,10,2,23_42_B,Aacet,1,,,,,,,,,,,Liv,
1,05.05.2021,3,10,3,16_175_B,ABThu,1,,,,,,,,,,,Liv,
1,05.05.2021,3,10,4,9_76_B,Keto,1,,,,,,,,,,,Liv,
1,05.05.2021,3,10,5,22_68_B,Myrox,1,,,,,,,,,,,Liv,
1,05.05.2021,4,1,1,8_17_A,Keto,0,,,,,,,,,,,Liv,
1,05.05.2021,4,1,2,29_23_A,Keto,0,,,,,,,,,,,Liv,
1,05.05.2021,4,1,3,30_11_A,Keto,0,,,,,,,,,,,Liv,
1,05.05.2021,4,1,4,6_26_A,Keto,0,,,,,,,,,,1,Liv,
1,05.05.2021,4,1,5,9_64_A,Keto,0,,,5,,,,,,,1,Liv,
1,06.05.2021,4,2,1,8_17_B,Keto,1,,,,,,,,,,3,Dominik,
1,06.05.2021,4,2,2,30_21_B,BThu,1,,,,,,,,,,,Dominik,
1,06.05.2021,4,2,3,26_173_B,ABThu,1,,,,,,,,,,,Dominik,
1,06.05.2021,4,2,4,24_22_B,Myrox,1,,,,,,,,,,1,Dominik,
1,06.05.2021,4,2,5,7_16_B,Aacet,1,,,,,,,,,,,Dominik,
1,05.05.2021,4,3,1,18_45_A,Myrox,0,,,,,,,,,,,Liv,
1,05.05.2021,4,3,2,22_22_A,Myrox,0,,,,,,,,,,,Liv,
1,05.05.2021,4,3,3,14_2_A,Myrox,0,,,,,,,,,,,Liv,
1,05.05.2021,4,3,4,24_22_A,Myrox,0,,,,,,,,,,,Liv,
1,05.05.2021,4,3,5,7_52_A,Myrox,0,,,,,,,,,,,Liv,
1,05.05.2021,4,4,1,17_66_B,BThu,1,,,,,,,,,,,Dominik,
1,05.05.2021,4,4,2,9_44_B,ABThu,1,,,,,,,,,,,Dominik,
1,05.05.2021,4,4,3,7_52_B,Myrox,1,,,,,,,,,,,Dominik,
1,05.05.2021,4,4,4,16_43_B,Aacet,1,,,,,,,,,,,Dominik,
1,05.05.2021,4,4,5,9_64_B,Keto,1,,,,,,,,,,,Dominik,
1,05.05.2021,4,5,1,17_66_A,BThu,0,,,,,,,,,,,Dominik,
1,05.05.2021,4,5,2,30_21_A,BThu,0,,,,,,,,,,,Dominik,
1,05.05.2021,4,5,3,8_23_A,BThu,0,,,,,,,,,,3,Dominik,
1,05.05.2021,4,5,4,16_2_A,BThu,0,,,,,,,,,,,Dominik,
1,05.05.2021,4,5,5,24_19_A,BThu,0,,,,,,,,,,,Dominik,
1,06.05.2021,4,6,1,29_153_B,ABThu,1,,,,,,,,,,,Tobias,
1,06.05.2021,4,6,2,22_19_B,Aacet,1,,,,,,,,,,,Tobias,
1,06.05.2021,4,6,3,14_2_B,Myrox,1,,,,,,,,,,,Tobias,
