Block,Plot,Position,Plant,Chemotype,highest_shoot_cm,number_shoots,no_shoots_with_flowerbuds,no_shoots_with_flowerbuds_Rsa,no_leaves,Date,Person
1,1,1,14_010_A,Myrox,66,7,0,0,41,21.06.2021,Steffi
1,1,2,18_022_A,Myrox,59,4,0,0,48,21.06.2021,Steffi
1,1,3,22_016_A,Myrox,49,8,0,0,29,21.06.2021,Steffi
1,1,4,07_156_A,Myrox,80,11,6,0,47,21.06.2021,Steffi
1,1,5,26_005_A,Myrox,48,5,0,0,38,21.06.2021,Steffi
1,2,1,16_015_B,Aacet,90,7,2,0,53,21.06.2021,Tanja
1,2,2,18_022_B,Myrox,63,6,0,0,59,21.06.2021,Tanja
1,2,3,29_039_B,Keto,73,6,3,3,103,21.06.2021,Tanja
1,2,4,08_032_B,BThu,70,5,0,0,69,21.06.2021,Tanja
1,2,5,09_014_B,ABThu,58,5,0,0,104,21.06.2021,Tanja
1,3,1,14_005_A,BThu,91,4,9,0,128,21.06.2021,Tanja
1,3,2,17_024_A,BThu,76,5,0,0,138,21.06.2021,Tanja
1,3,3,23_028_A,BThu,64,5,8,0,132,21.06.2021,Tanja
1,3,4,08_032_A,BThu,67,3,0,0,64,21.06.2021,Tanja
1,3,5,30_015_A,BThu,101,6,6,0,181,21.06.2021,Tanja
1,4,1,18_005_B,Keto,71,4,0,0,99,21.06.2021,Tanja
1,4,2,17_024_B,BThu,61,3,0,0,89,21.06.2021,Tanja
1,4,3,26_043_B,ABThu,59,4,0,0,55,21.06.2021,Tanja
1,4,4,16_062_B,Aacet,45,3,0,0,33,21.06.2021,Tanja
1,4,5,26_005_B,Myrox,44,7,0,0,103,21.06.2021,Tanja
1,5,1,16_015_A,Aacet,77,8,1,0,83,21.06.2021,Tanja
1,5,2,22_003_A,Aacet,43,4,0,0,45,21.06.2021,Tanja
1,5,3,23_019_A,Aacet,59,3,0,0,63,21.06.2021,Tanja
1,5,4,16_062_A,Aacet,43,5,0,0,41,21.06.2021,Tanja
1,5,5,07_001_A,Aacet,47,7,0,0,99,21.06.2021,Tanja
1,6,1,14_010_B,Myrox,75,5,0,0,73,21.06.2021,Tanja
1,6,2,22_003_B,Aacet,75,2,0,0,76,21.06.2021,Tanja
