".","Parameters","Df","Chisq","Pr(>Chisq)","random.variance.metrics","Random_effect_var_explained_percent"
"M_fuscoviride_total",NA,NA,NA,NA,NA,NA
"Shannon_Diversity_plant_perc + highest_shoot_cm + no_shoots_with_flowerbuds + number_shoots + no_leaves + Antpresence + (1 | Block) + (1 | Plot_unique)",NA,NA,NA,NA,NA,NA
NA,"(Intercept)",1,5.11108303728304,0.0237734752105204,NA,NA
NA,"Shannon_Diversity_plant_perc",1,0.996086468202012,0.318259324600928,NA,NA
NA,"highest_shoot_cm",1,2.0774887878295,0.149485929634985,NA,NA
NA,"no_shoots_with_flowerbuds",1,0.148710776335516,0.699770443441909,NA,NA
NA,"number_shoots",1,0.00887591327033961,0.92494070058787,NA,NA
NA,"no_leaves",1,4.74867675038919,0.0293208331413564,NA,NA
NA,"Antpresence",1,52.487804138808,4.32928505138884e-13,NA,NA
NA,NA,NA,NA,NA,"Block","6.65136344768872e-08"
NA,NA,NA,NA,NA,"Plot_unique","21.2402757646457"
"M_fuscoviride_alate_presence",NA,NA,NA,NA,NA,NA
"Shannon_Diversity_plant_perc + highest_shoot_cm + no_shoots_with_flowerbuds + number_shoots + no_leaves + Antpresence + (1 | Block) + (1 | Plot_unique) + (1 | Motherplant)",NA,NA,NA,NA,NA,NA
NA,"(Intercept)",1,2.1942270402252,0.138528684890389,NA,NA
NA,"Shannon_Diversity_plant_perc",1,0.405199011351217,0.524416411499457,NA,NA
NA,"highest_shoot_cm",1,0.328385350970186,0.566611402248922,NA,NA
NA,"no_shoots_with_flowerbuds",1,0.0865309263602303,0.768634578483424,NA,NA
NA,"number_shoots",1,0.309168713260965,0.578190744588517,NA,NA
NA,"no_leaves",1,0.273293190109462,0.60113117876234,NA,NA
NA,"Antpresence",1,5.30736418414673,0.0212354608453858,NA,NA
NA,NA,NA,NA,NA,"Block","5.26964739670258"
NA,NA,NA,NA,NA,"Plot_unique","13.5623858717282"
NA,NA,NA,NA,NA,"Motherplant","0.000139270398756314"
"M_fuscoviride_total",NA,NA,NA,NA,NA,NA
